data_set,node,n_leaves,leaves,best_taxid_match,node_precision,node_taxids,leaf,best_match_taxid,description
ERR13488568,ERR13488568_good_R1.fastq_10239_NZ_CP010905.2.fna.bam,1,['ERR13488568_good_R1.fastq_10239_NZ_CP010905.2.fna.bam'],10239,1.0,[10239],ERR13488568_good_R1.fastq_10239_NZ_CP010905.2.fna.bam,10239,viruses
ERR13488568,ERR13488568_good_R1.fastq_130309_NC_001454.1.fna.bam,1,['ERR13488568_good_R1.fastq_130309_NC_001454.1.fna.bam'],130309,1.0,[130309],ERR13488568_good_R1.fastq_130309_NC_001454.1.fna.bam,130309,human_mastadenovirus_f
ERR13488568,ERR13488568_good_R1.fastq_10886_GCF_006298385.1.fna.bam,1,['ERR13488568_good_R1.fastq_10886_GCF_006298385.1.fna.bam'],10886,1.0,[10886],ERR13488568_good_R1.fastq_10886_GCF_006298385.1.fna.bam,10886,mammalian_orthoreovirus_3_dearing
ERR13488568,ERR13488568_good_R1.fastq_10359_NC_006273.2.fna.bam,1,['ERR13488568_good_R1.fastq_10359_NC_006273.2.fna.bam'],10359,1.0,[10359],ERR13488568_good_R1.fastq_10359_NC_006273.2.fna.bam,10359,human_betaherpesvirus_5
ERR13488568,ERR13488568_good_R1.fastq_10372_NC_001716.2.fna.bam,1,['ERR13488568_good_R1.fastq_10372_NC_001716.2.fna.bam'],10372,1.0,[10372],ERR13488568_good_R1.fastq_10372_NC_001716.2.fna.bam,10372,human_betaherpesvirus_7
ERR13488568,Inner1,2,"['ERR13488568_good_R1.fastq_1910950_NC_001422.1.fna.bam', 'ERR13488568_good_R1.fastq_511969_NC_007817.1.fna.bam']",2886930,0.5,"[2886930, 511969]",ERR13488568_good_R1.fastq_1910950_NC_001422.1.fna.bam,2886930,escherichia_phage_phix174
ERR13488568,ERR13488568_good_R1.fastq_11250_GCA_965153015.1.fna.bam,1,['ERR13488568_good_R1.fastq_11250_GCA_965153015.1.fna.bam'],11250,1.0,[11250],ERR13488568_good_R1.fastq_11250_GCA_965153015.1.fna.bam,11250,human_respiratory_syncytial_virus
ERR13488568,ERR13488568_good_R1.fastq_54290_NC_001710.1.fna.bam,1,['ERR13488568_good_R1.fastq_54290_NC_001710.1.fna.bam'],54290,1.0,[54290],ERR13488568_good_R1.fastq_54290_NC_001710.1.fna.bam,54290,gb_virus_c
ERR13488568,ERR13488568_good_R1.fastq_518987_GCA_036281715.1.fna.bam,1,['ERR13488568_good_R1.fastq_518987_GCA_036281715.1.fna.bam'],518987,1.0,[518987],ERR13488568_good_R1.fastq_518987_GCA_036281715.1.fna.bam,518987,influenza_b_virus_(b/lee/1940)
ERR13488568,ERR13488568_good_R1.fastq_64320_GCF_004788155.1.fna.bam,1,['ERR13488568_good_R1.fastq_64320_GCF_004788155.1.fna.bam'],64320,1.0,[64320],ERR13488568_good_R1.fastq_64320_GCF_004788155.1.fna.bam,64320,zika_virus
ERR13488568,ERR13488568_good_R1.fastq_482822_NC_042057.1.fna.bam,1,['ERR13488568_good_R1.fastq_482822_NC_042057.1.fna.bam'],482822,1.0,[482822],ERR13488568_good_R1.fastq_482822_NC_042057.1.fna.bam,482822,escherichia_phage_de3
ERR13488568,ERR13488568_good_R1.fastq_2786389_NC_074405.1.fna.bam,1,['ERR13488568_good_R1.fastq_2786389_NC_074405.1.fna.bam'],2786389,1.0,[2786389],ERR13488568_good_R1.fastq_2786389_NC_074405.1.fna.bam,2786389,ssrna_phage_srr5466337_3
ERR13488568,ERR13488568_good_R1.fastq_687345_NC_014094.1.fna.bam,1,['ERR13488568_good_R1.fastq_687345_NC_014094.1.fna.bam'],687345,1.0,[687345],ERR13488568_good_R1.fastq_687345_NC_014094.1.fna.bam,687345,torque_teno_virus_6
ERR13488568,Inner2,2,"['ERR13488568_good_R1.fastq_687373_NC_014089.1.fna.bam', 'ERR13488568_good_R1.fastq_93678_NC_076339.1.fna.bam']",93678,0.5,"[93678, 687373]",ERR13488568_good_R1.fastq_93678_NC_076339.1.fna.bam,93678,ttv-like_mini_virus
ERR13480649,Inner2,3,"['ERR13480649_good_R1.fastq_2847060_NC_049948.1.fna.bam', 'ERR13480649_good_R1.fastq_186765_NC_001416.1.fna.bam', 'ERR13480649_good_R1.fastq_482822_NC_042057.1.fna.bam']",186765,0.3333333333333333,"[186765, 2847060, 482822]",ERR13480649_good_R1.fastq_186765_NC_001416.1.fna.bam,186765,lambdavirus
ERR13480649,ERR13480649_good_R1.fastq_10359_NC_006273.2.fna.bam,1,['ERR13480649_good_R1.fastq_10359_NC_006273.2.fna.bam'],10359,1.0,[10359],ERR13480649_good_R1.fastq_10359_NC_006273.2.fna.bam,10359,human_betaherpesvirus_5
ERR13480649,ERR13480649_good_R1.fastq_2731619_NC_017451.1.fna.bam,1,['ERR13480649_good_R1.fastq_2731619_NC_017451.1.fna.bam'],2731619,1.0,[2731619],ERR13480649_good_R1.fastq_2731619_NC_017451.1.fna.bam,2731619,caudoviricetes
ERR13480649,ERR13480649_good_R1.fastq_687361_NC_043415.1.fna.bam,1,['ERR13480649_good_R1.fastq_687361_NC_043415.1.fna.bam'],687361,1.0,[687361],ERR13480649_good_R1.fastq_687361_NC_043415.1.fna.bam,687361,torque_teno_virus_22
ERR13480649,ERR13480649_good_R1.fastq_2886930_NC_001422.1.fna.bam,1,['ERR13480649_good_R1.fastq_2886930_NC_001422.1.fna.bam'],2886930,1.0,[2886930],ERR13480649_good_R1.fastq_2886930_NC_001422.1.fna.bam,2886930,escherichia_phage_phix174
ERR13480660,Inner1,2,"['ERR13480660_good_R1.fastq_2716351_NC_049342.1.fna.bam', 'ERR13480660_good_R1.fastq_2510486_NC_049448.1.fna.bam']",2716351,0.5,"[2716351, 2510486]",ERR13480660_good_R1.fastq_2716351_NC_049342.1.fna.bam,2716351,escherichia_phage_500465-1
ERR13480660,ERR13480660_good_R1.fastq_11250_GCA_965153015.1.fna.bam,1,['ERR13480660_good_R1.fastq_11250_GCA_965153015.1.fna.bam'],11250,1.0,[11250],ERR13480660_good_R1.fastq_11250_GCA_965153015.1.fna.bam,11250,human_respiratory_syncytial_virus
ERR13480660,ERR13480660_good_R1.fastq_12022_NC_001417.2.fna.bam,1,['ERR13480660_good_R1.fastq_12022_NC_001417.2.fna.bam'],12022,1.0,[12022],ERR13480660_good_R1.fastq_12022_NC_001417.2.fna.bam,12022,escherichia_phage_ms2
ERR13480660,ERR13480660_good_R1.fastq_2716354_NC_049344.1.fna.bam,1,['ERR13480660_good_R1.fastq_2716354_NC_049344.1.fna.bam'],2716354,1.0,[2716354],ERR13480660_good_R1.fastq_2716354_NC_049344.1.fna.bam,2716354,escherichia_phage_520873
ERR13480660,ERR13480660_good_R1.fastq_2886930_NC_001422.1.fna.bam,1,['ERR13480660_good_R1.fastq_2886930_NC_001422.1.fna.bam'],2886930,1.0,[2886930],ERR13480660_good_R1.fastq_2886930_NC_001422.1.fna.bam,2886930,escherichia_phage_phix174
